Website URL,HSTS,HSTS_max_age,CSP,XCTO,XFO,Referrer_Policy,Perm_Policy,TLS_Version,HTTP_Code,Server,CORS,Cookie_HttpOnly,Cookie_Secure
https://www.nitk.ac.in/,0,0,0,0,SAMEORIGIN,no-referrer-when-downgrade,0,Unknown,200,nginx,None,1,0
https://manipal.edu/,1,31536000,0,1,"SAMEORIGIN, SAMEORIGIN, SAMEORIGIN",strict-origin,0,Unknown,200,Apache,SAMEORIGIN,0,0
https://www.iisc.ac.in/,1,31536000,1,1,SAMEORIGIN,no-referrer,1,Unknown,200,Apache,None,0,0
https://www.iitm.ac.in/,1,31536000,0,1,SAMEORIGIN,None,1,Unknown,200,nginx,DENY,0,0
